timestamp,service,url,workload,iteration,connections,duration,requestsTotal,rpsMean,bytesPerSecMean,latencyMeanMs,latencyP95Ms,latencyP99Ms,errors,timeouts,non2xx,cacheReads,cacheWrites,cacheHits,cacheMisses,cacheHitRate,queuedWrites,flushedWrites
2025-12-13T16:00:25.980Z,No-Caching,http://localhost:3000,read,1,10,30,196096,6536.94,49186952.54,1.05,,2,0,0,0,196106,0,0,196106,0,,
2025-12-13T16:00:57.064Z,No-Caching,http://localhost:3000,read,1,25,30,207889,6930.14,52542395.74,3.09,,5,0,0,0,207914,0,0,207914,0,,
2025-12-13T16:01:28.158Z,No-Caching,http://localhost:3000,read,1,50,30,193527,6451.6,48391782.4,7.3,,10,0,0,0,193577,0,0,193577,0,,
2025-12-13T16:01:59.252Z,No-Caching,http://localhost:3000,read,1,100,30,191216,6374.4,48413627.74,15.19,,19,0,0,0,191316,0,0,191316,0,,
2025-12-13T16:02:11.338Z,No-Caching,http://localhost:3000,write,1,10,10,110544,10050.55,2954798.55,0.37,,2,0,0,0,0,110554,0,0,,,
2025-12-13T16:02:23.422Z,No-Caching,http://localhost:3000,write,1,25,10,111853,10168.37,2989242.19,1.99,,4,0,0,0,0,111878,0,0,,,
2025-12-13T16:02:35.510Z,No-Caching,http://localhost:3000,write,1,50,10,111711,10154.55,2985704.73,4.38,,7,0,0,0,0,111761,0,0,,,
2025-12-13T16:02:47.601Z,No-Caching,http://localhost:3000,write,1,100,10,109698,9974.19,2933015.28,9.56,,13,0,0,0,0,109798,0,0,,,
2025-12-13T16:03:18.683Z,No-Caching,http://localhost:3000,mixed,1,10,30,233382,7779.87,36799556.27,0.8,,2,0,0,0,155598,77794,0,155598,0,,
2025-12-13T16:03:49.764Z,No-Caching,http://localhost:3000,mixed,1,25,30,234323,7811.6,37496422.4,2.74,,4,0,0,0,156241,78107,0,156241,0,,
2025-12-13T16:04:20.858Z,No-Caching,http://localhost:3000,mixed,1,50,30,222554,7419.2,34945979.74,6.25,,9,0,0,0,148420,74184,0,148420,0,,
2025-12-13T16:04:51.954Z,No-Caching,http://localhost:3000,mixed,1,100,30,219372,7312.4,35158971.74,13.18,,17,0,0,0,146346,73126,0,146346,0,,
2025-12-13T16:05:28.562Z,Cache-Aside,http://localhost:3001,read,1,10,30,280319,9344.54,70258961.07,0.56,,2,0,0,0,280329,0,280306,23,0.999917953547439,,
2025-12-13T16:05:59.652Z,Cache-Aside,http://localhost:3001,read,1,25,30,266110,8871.87,67620044.8,2.35,,4,0,0,0,266135,0,266110,25,0.9999060627125331,,
2025-12-13T16:06:30.742Z,Cache-Aside,http://localhost:3001,read,1,50,30,333614,11121.34,83433881.6,4.01,,6,0,0,0,333664,0,333600,64,0.9998081902752469,,
2025-12-13T16:07:01.841Z,Cache-Aside,http://localhost:3001,read,1,100,30,331005,11033.87,82785075.2,8.57,,12,0,0,0,331105,0,330989,116,0.9996496579634859,,
2025-12-13T16:07:13.926Z,Cache-Aside,http://localhost:3001,write,1,10,10,98504,8956,2633076.37,0.78,,2,0,0,0,0,98514,0,0,,,
2025-12-13T16:07:26.010Z,Cache-Aside,http://localhost:3001,write,1,25,10,105652,9604.73,2823540.37,2.14,,4,0,0,0,0,105677,0,0,,,
2025-12-13T16:07:38.098Z,Cache-Aside,http://localhost:3001,write,1,50,10,112262,10206.91,3000785.46,4.37,,7,0,0,0,0,112312,0,0,,,
2025-12-13T16:07:49.189Z,Cache-Aside,http://localhost:3001,write,1,100,10,104876,10488,3084492.8,9.02,,12,0,0,0,0,104976,0,0,,,
2025-12-13T16:08:20.278Z,Cache-Aside,http://localhost:3001,mixed,1,10,30,229451,7648.67,36110336,0.75,,2,0,0,0,152980,76481,81272,71708,0.53125898810302,,
2025-12-13T16:08:51.364Z,Cache-Aside,http://localhost:3001,mixed,1,25,30,219268,7309.74,35407189.34,2.97,,8,0,0,0,146208,73085,74150,72058,0.5071541912891223,,
2025-12-13T16:09:22.456Z,Cache-Aside,http://localhost:3001,mixed,1,50,30,234025,7801.6,36893491.21,5.91,,15,0,0,0,156070,78005,78484,77586,0.5028769142051643,,
2025-12-13T16:09:53.553Z,Cache-Aside,http://localhost:3001,mixed,1,100,30,229513,7651.07,36322235.74,12.57,,26,0,0,0,153140,76473,22339,130793,0.1458806781077763,,
